"","Pst_strain","median"
"1",D36,0.0673259244664548
"2",DC3000,1.95410182197605
"3",HopA1,0.156429443662613
"4",HopB1,0.0851969579130354
"5",HopD1,0.363952520799682
"6",HopE1,0.17241115515603
"7",HopF2,0.472959596635295
"8",HopG1,0.297109181416552
"9",HopH1,0.281489536686494
"10",HopI1,0.0109987587224571
"11",HopK1,0.281489536686494
"12",HopM1,1.27889431635236
"13",AvrE1,2.28562430291754
"14",AvrPto,0.0985821302406173
"15",HopN1,-0.443948214676845
"16",HopR1,0.209218033945272
"17",HopV1,-0.282607494590079
"18",HopY1,-0.0346228836670472
"19",HopX1,-0.46270138378466
"20",HopAA1_1,-0.455388723404379
"21",HopAA1_2,-0.330469570620804
"22",AvrPtoB,-0.306168657728295
"23",HopAF1,-0.189127054711611
"24",HopAM1,-0.074124782863445
"25",HopT1-1,0.170486350780024
"26",HopU1,-0.888292129253632
"27",HopAO1,0.472130821886337
"28",HopAD1,0.349649050589231
"29",HopO1,0.0691786433127302
"30",HopQ1,0.0156102303702683
"31",dCEL,1.00483215592878
"32",hrcC-,0.0123070119622568
